date,review,rating,isEdited,userName,title,developerResponse,App_Name
2020-07-08 01:49:44,"Overall, I was excited to use the app rather than having to call Aetna all the time, but I have two problems with this one:
(1) I have aetna for my dental (through my work, and I am the primary account holder) and my medical (through my husband). With the old Aetna app, I had two different logins to see medical or dental. Now both logins go to my medical insurance only and I can’t see my dental insurance details at all. There should be a possibility to have two cards and two accounts stored on the app.
(2) When I go to ‘Search for providers’ all I can search for are the popular searches that the app suggests, I can’t type in what providers I need myself. 
Would be great if both of the above could be fixed. 
Also would be amazing if you could get pre-approval and understand how much you would be charged for each procedure with a specific doctor through the app rather than having to call.",2,False,anonqowirueufidj,"Difficult to search for providers, impossible to have to log ins",,Aetna Health 
2021-04-14 18:11:23,"So yes, if I jumped on this app in 2015 I probably would have given it 5 stars, just look at all this information!! Sadly it’s 2021, and Aetna’s algorithm leaves a lot to be desired. Tried to find a Chiropractor, app tells me “You can use these Chiropractors in the area buddy!” and so I say thank you app, and book an appointment. Luckily the woman at the desk at the Doctor’s office was sharp, and after calling me back three times, finally realized that I was NOT cleared to go to their offices, since they were in network, but not in the “medical group” I selected. Like I said, in 2015, sure no problem. In 2021, you show me WHO I CAN ACTUALLY GO TO or you failed. Add to that the fact that the app makes me type out my sign in every time (doesn’t remember me, won’t use face recognition) and this app seems more like the winner at a 9th Grade Science Fair then something a Fortune 500 company paid a developer thousands and thousands for...",2,False,Lyon>LA,5 Stars in 2015!,,Aetna Health 
2023-06-07 12:19:27,"Aetna is denying my preauthorizations and I feel like I have to fight for my health care at a point in my life where I’m retired and having health issues and suffering daily with pain and my day to day activities are affected.  I suffered collapsed discs in my cervical spine in 2020 and have gone through steps to improve my health by way of physical therapy, steroid injections, and am at a point where I saw a neurosurgeon and together after CT scan and MRI we came to the conclusion that surgery is medically necessary.  Aetna has required I have more physical therapy.  I had to stop pt because it was causing more pain.  I went for 8 months.  I feel as though I have done all I can to get better but am at a point now where pt will not achieve the goal of improved condition.  It’s degenerative disc disease protruding into spinal space pressing on nerves.  I want to try pt, but don’t want to do it if it isn’t helping.  My review is not a good one but I’m living with daily pain and denied health care I need.",1,False,poor review from retiree,Denials,,Aetna Health 
2022-06-21 01:08:14,"I am a 57 year old woman. I have had several life or death surgeries. These surgeries required me to have both my legs opened up and resulted in me losing half a foot. Aetna was good enough to send me to a L tag rehab. I am not sure if I was sent there just because of the extended antibiotics and the wound vac or what. I have been finished with the antibiotics, but still require wound care daily. I can not stand on my left leg with a walker for more than 2 minutes. My right leg is still several weeks from being allowed to bare weight. Aetna has refused the Dr request to send me down a step to acute rehab. I imagine this acute rehab is cheaper and now almost 2 weeks have been wasted in fighting to try and get me to a facility that could really help me get stronger & more stable on my foot. I just don’t understand it. Please help me to get better.",2,False,Jersey gal 813,Coverage let down.,"{'id': 30506996, 'body': 'Hello, Jersey gal 813. We care about your app experience, and we care about your health, too. I work on Aetna’s website/app support team. If you’ll email our mailbox at AetnaHealth-AppSupport@aetna.com, we’d love to get some information so we can forward it to member services. I look forward to hearing from you. Thanks! Cindy K. ', 'modified': '2022-06-22T19:58:30Z'}",Aetna Health 
2023-01-20 18:21:35,"Overall the app is easy to navigate. The only issue is that there is no tab to make payments on your plan. I can’t tell you how long I spent searching so I wasn’t late on my monthly bill. Finally, after thinking I’m crazy and must be missing something I went to the web and search there. Sure enough you have to create a different account on a different Aetna site in order to pay your bill. All they have to do is add a tab that says “pay your bill “ linking you to the other site in order to have a smooth transaction. No one will ever know it is a different site. Besides that everything else seems to be easy and straight forward.",4,False,Old_Man_John,Aetna App,,Aetna Health 
2020-01-14 15:31:45,"This app has a lot of potential, unfortunately, this is my second time downloading the app with roughly 3 months in between and still getting a blank white screen. Thinking it may be my connection... however it is not.  Fix the bugs and I may download it again.
*UPDATE*
Okay so after almost 5 months I decided to try to download the app again. Thinking that the developers would have had plenty of time to do some updates and bug fixes... WRONG download the app and... blank white screen.
My family and I use (Mailhandlers) Aetna insurance and would really love to use this app. But again I download it, open it and blank white screen!?!? Yet my wife downloads the same app on her phone and it works as it should?!?!?
 Answers would be great I want to use the app. Since I am one of millions who pump money into this insurance company.  A functioning  app would be great",1,True,CrlticRaven84,Blank screen...?,"{'id': 11738356, 'body': 'Hello, CrlticRaven84. Thanks for your post. We care about your Aetna Health app experience. I work on Aetna’s support team. If you’ll email our support mailbox, I’ll be happy to look into the issue of your white screen. Our email address is AetnaHealth-AppSupport@aetna.com. Thanks! Cindy K.', 'modified': '2019-11-08T16:40:30Z'}",Aetna Health 
2019-06-15 01:28:24,"In November of 2018 you took back claims that were paid on my daughter whom I carry primary insurance. I called you multiple times to address her double coverage and explanation of benefits with her secondary coverage. You called them and they also explained and you took primary coverage but the bills never got paid. I called again and talked to sandy on 5/9/19 and she told me that she would call Aetna and take back and have all bills processed that they had. Today I got a collections notice in the mail for all those bills that your service reps told me they were absolutely taken care of. I’m extremely angry and will be writing a letter to the ceo of the company I work for. I’ll also be calling your management on Monday. I’ve had your insurance for almost 17 years, this is outrageous and ridiculous how much time and energy I’ve put into this, only to be extremely disappointed In your company.",1,False,KD 0809&,Horrible,,Aetna Health 
2019-08-07 01:07:23,"I’ve had Aetna for a year and have never been able to log onto this app. I’ve reset my password twice, and spoken to customer service about potential account lockout. Each time I try to sign in, the app displays a page that states that the service is momentarily down and offers to redirect to a secure log-in webpage. No luck there either, as it just instructs me to do whatever I need to do by calling customer service with the phone number on my card. 

I get mail about how awesome the Aetna app is, and the features honestly sound great. Virtual therapy session offerings, wireless prescription mgmt, online dermatologist recommendations- but I can’t even log on. I’m going to be talking to my employer about why we even get our insurance through Aetna when other providers actually care about having an online presence.",1,False,ChromeChomsky,I can’t even log-in and the redirect site has been down for weeks,"{'id': 10099558, 'body': 'Hello ChromChomsky. Thanks for your post. We care about your Aetna Health app experience. I work on Aetna’s support team. If you’ll email our support mailbox, I’ll be happy to look into the issue. Our email address is AetnaHealth-AppSupport@aetna.com. Thanks! Rick G..\n', 'modified': '2019-08-09T20:04:31Z'}",Aetna Health 
2019-12-17 21:47:54,"When I order my specialty pharmacy medications it’s very nice to work with your employee that answers the call, the problem is you will not send them without someone signing for them. You tell the customer that a signature is required by Medicare but this is NOT true.  Medicare doesn’t require a signature, your internal policies and procedures do.  I’ve been taking these medications for 7.5 years and every insurance company, including yours, has processed the order with no signature required.   When I started taking these medications 7.5 years ago you were my specialty pharmacy and did NOT require a signature.  I hope you decide to allow the patient to order their medications without a signature.",4,False,JaybirdM,No Signature Required!,,Aetna Health 
2023-07-23 15:48:26,This is a poor quality application tool. Very few things bug me but this tool gets deleted an reloaded to fix issues more then anything I use. Information on claims is ten days slower then is useful. Notifications do not dismiss after acknowledgment. Support? None!!! Been reporting these issues for a month and nothing. Now on to there service. The encore they use for evaluating needed services is evil. Terribly non empathetic. And do far unhealthy unhelpful and plain stupid. Had to go on disability to get the attention of joe wrong they are on third diagnostic efforts. Three levels of in network doctors request denied. Very stressful. If I wasn't locked into this insurance through my job I would fire them then sue them gor insurary and mentss as l anguish.,2,False,Big Dyna,Only a fair tool. Not. Do good,,Aetna Health 
2019-05-30 10:24:41,"I registered online and have been able to get in through my computer, but when I try to go in through the app it auto-replies with a message that it’s only for limited users. 

What is the point of making the app available if only a limited number of people are using it, or can use it. My health insurance goes live on June 1 and everything about United Health was ready and working weeks before. 

Developers: please don’t ask me to email you with the problem. Either take it off Apple App Store until it’s fully functional for EVERYONE, or FIX IT!",5,False,Randymartine312,Worthless so far,,Aetna Health 
2023-05-13 00:17:14,"Tried searching whether a doctor recommended pharmaceutical was covered, after more than an hour and a high level of frustration and the app bouncing me back and forth to the member site and back to the app (shouldn’t the app have access to the member site without asking me to login again?) It never revealed a view of the covered pharmaceuticals list. I gave up trying with the app, and used a link on my PC to view it. Why did they take care to hide it from the app? Why is the app not intuitive to use? Ever hire a usability consultant to make the app easy to use? It needs a lot of design work to bring it to even a mediocre user tool Aetna. And it’s years away from being a pleasure to use.",2,False,bitoguy,Impossible to Search Approved Pharmaceuticals,,Aetna Health 
2022-10-21 01:39:30,"For god sake , please respect prescription refills suggested by doctors, you don’t want to act like a doctor all the time, if you want to control medication then you treat the people directly and prescribe medications for 90 days or 365 days or till end of life whichever is best for you.
God sake , let doctor evaluate and decide medication duration, medication course and treatment plan, dosage can change or may be withdrawn , so let doctor decide what is best for the patients, don’t interfere in the middle of treatment and make arbitrary decisions on refills without talking to doctors, please relax and be patient world is not going end by December 31st 2022 
be kind to yourself and others , do not shock customers with medication refills and make them scape goat at pharmacy stores 
If this is what your policies are then you won and I lost in cat and mouse game !!!",1,False,sgdesai74,For god sake please,,Aetna Health 
2020-05-22 13:26:19,"What I want to use the Aetna app and website for most is to find a local provider. Often I have done my own research to determine who I would like to see, then I will check on the app to find out if the are in network. The functionality of this used to be relatively simple - when I would type in a name I would see a result of that doctor or practice, and there would be a line that indicated whether or not they were in network. Now when I type on a specific name it just gives me a list of similar types of doctors, but doesn’t actually give me the results I am looking for. Even if the doctor is out of network, I want to see the answer to the search that I put in. It is beyond frustrating to use this function of the app, and I still can’t get the answers that I am looking for.",1,False,06050601kk,Finding providers,,Aetna Health 
2019-06-15 00:16:35,"OMG, What have you done Aetna. They have outdone themselves. I used to have such a. Hard time understanding medical bills but now it’s a walk in the park. You can immediately know what’s your deductible, how far you are. What claims have been charged, how much etc. 
Also the search functionality is so super awesome. There is no slow websites to deal with or those dreaded long phone calls.
Have not tried the payment functionality yet but I look forward to trying more features on this.

Keep up the good work.",5,False,Pal1134,Best health app ever - it goes 1 better than labcorp,"{'id': 9290194, 'body': 'Hello, Pal1134. We care about your Aetna Health app experience and appreciate your feedback!  We encourage you to continue using our app as we’re continuously adding new features. Thanks! Cheryl M.', 'modified': '2019-06-21T16:49:22Z'}",Aetna Health 
2020-02-28 21:41:17,"I see a lot of room for improvement.  I’m new to Aetna but, my previous HMO had a fantastic setup.  Here I struggle to find my Doctors number and I believe they should make a section where you can make your doctor appointments online.  In addition, they should make your medical history available to you (accessible online). Therefore, I would revamp their whole online setup and make it “user friendly”.  I can already tell you the difficulties my wife and I are having with getting Aetna to schedule appointments or providers to call us back for her ultrasound sound appointments to checkout our baby’s development during her pregnancy.  I wish I could switch back to my old HMO but, I’m stuck where my job offers health insurance.",2,False,maramros666,Improvement Needed Overall,,Aetna Health 
2023-10-03 12:45:20,I’ve tried to find a healthcare provider through this app several times but all of their information is incorrect. It’ll say it’s been updated today but you call the place and it’s the complete wrong department or that location doesn’t even exist! Then if you want to compare medical costs it takes you to the phone browser where it makes you login again and restart your process of looking up treatment. I might as well have just used the website if the app was so dysfunctional! Not that it matters because the information on the website is the same incorrect information. I recommend staying away from this app when using it for anything other than an id card.,1,False,FloatingFi5h,Less than useless!,,Aetna Health 
2019-05-16 17:31:32,"I am unable to pay claims through the app. After entering payment info, I get a confirmation screen and then it says processing. It continues to say processing forever and I have to completely exit the app. I’ve tried this with several different providers, multiple payment methods, and over a couple of weeks time. It simply does not work. When I called Aetna about the issue I was told to not use the app to pay my claims. This is an unacceptable response when the purpose is to manage and pay claims.

I am also frustrated that I am unable to login as myself and view my children’s claims. I have to be logged into my husband’s account to see them. As I am the member of the household who manages our children’s medical appointments and bills, this makes it difficult.",1,False,Lindsay99739,Unable to pay claims,"{'id': 8727438, 'body': ""Hello, Lindsay99739. Thanks for your post. We care about your Aetna Health app experience. I work on Aetna’s support team. If you’ll email our support mailbox, I’ll be happy to help you. That shouldn't be happening and we can help you with this issue. Our email address is AetnaHealth-AppSupport@aetna.com. Thanks! Rick G.."", 'modified': '2019-05-17T19:55:51Z'}",Aetna Health 
2023-11-03 17:26:38,I hate using this app to find providers… so much of the information is incorrect. I called 22 (I counted) provides to find one specialist and the majority of the providers I called didn’t even provide the service the app listed them for…. Or theirs was a weird caveat the app forgot to mention like they only work with children or they only do home visits at extra cost. That was an extreme case but each time I use the app I run into so much I correct info. Their incorrect information reporting process is also ridiculously time consuming. Not to mention I still see some of the incorrect info I’ve reported on months later. I’m convinced the app is intentionally unusable at this point.,1,False,namelessinalabama,So much incorrect information it’s ridiculous,,Aetna Health 
2023-05-31 17:12:38,"I have contacted the consignee or representative several times requesting a letter confirming my healthcare coverage. Each time I was told a email with requested document would be sent along with a document via mail. The initial call occurred 3 weeks ago with 2-3 follow up calls. Still no email or mailed document received. 

Was told that the action would occur within 24-48 hours. Looking more like 24-48 days or weeks! This has been a very frustrating interaction with your representatives who have not met their commitments to their customers. 

The communication ends with a request for me to participate in a survey. Previous responses I have tried to be positive but no more. Frustrating is building with your inactions on my simple request!",1,False,Keep Your Commitments,Non response,,Aetna Health 
2019-11-21 14:48:36,"The IU is misleading. Even though you complete the daily bubble, you may not get credit for that day. You need to go into the health app, then active calories and then data and sources and then select your apple watch from that list. Then you would see the calories for watch day. You need to make sure this number hits 600 to get the points. The bubble completion doesn’t really matter. So basically this app is useless and unreliable as you need to use health app and dig in too much to check if your daily goal is complete or not",5,False,Margishk,Misleading UI,,Aetna Health 
2019-07-06 11:17:50,Doesn’t appear that much testing was done prior to deployment of the latest mobile app release.  First thing it broke was Face ID login.  Even after signing in manually Face ID shows enabled but still doesn’t work.  Also the supposed new features aren’t showing available.  Though it shows the version to be updated to 3.4.0 the app still is older version.  Tried deleting the app and reinstalled it with same results.  I have the latest IOS 12.3.1...this pretty pathetic from an IT perspective.,5,False,Poorhob,Latest update 3.4.0 is terrible,,Aetna Health 
2019-06-02 15:47:54,"It would be great if I could store my HSA card within the apps, or a related digital wallet, so I can pay claims much more easily without punching in all the card details repeatedly. My wife recently had a medical episode which resulted in about 10 separate claims for the bundle of care. I had to open each claim and punch in the card number, name, expiration date, etc. to pay each claim through the app.

On the positive side - it’s a huge improvement to be able to pay claims through the app versus waiting for paper bills to arrive.",5,False,dheiunejdins,Use of HSA,"{'id': 8992919, 'body': ""Hello, dheiunejdins, We care about your Aetna Health app experience and appreciate your feedback. We encourage you to continue using our app as we'll add new payment features throughout the year. Thanks! Rick G."", 'modified': '2019-06-03T19:24:56Z'}",Aetna Health 
2021-12-18 23:20:36,"While this app is getting better over time, it is still missing two important features. The first is the message center. I receive an email notification that I have a new message, and when I tap to open it, it opens the app. However the app does not have the message centre in it. When I go to the browser to view it there, it opens the app automatically. Frustrating experience. 

I would also like the ability to submit a claim via the app so that I don’t have to switch to my browser on my computer.",3,False,tyguyone,"Getting better, but missing key features","{'id': 27003285, 'body': 'Hello, tyguyone. We care about your Aetna Health app experience. I work on Aetna’s support team. If you’ll email our support mailbox at AetnaHealth-AppSupport@aetna.com, we’ll be happy to assist with any issues you may be having with the app. I look forward to hearing from you. Thanks! Cheryl M.\r\n\r\n', 'modified': '2021-12-22T23:05:45Z'}",Aetna Health 
2023-06-01 18:46:17,I have had different plans from other companies (changed company every year trying to find something that really works for me and I finally found it). The only negative thing I found so far is the Payflex thing. They say you can only go to a stand alone CVS or you have to get it through the mail. I feel a person should be able to go to any pharmacy they want even if they would have to pay more.,5,False,What name to use?,Great!,,Aetna Health 
2021-11-21 16:22:10,"I’ve had  Aetna health app for two years now. A year ago this app was mostly useless because my plan could appear on the app. However, after the new updates it became available with a much better interface. I love the Apple wallet feature however i wish if it included the Rx bin number that’s available on the physical card. Other than that it’s 👌🏼

Thank you Aetna for updating the app and I hope you add the Rx bin number to the digital card.",4,False,Faisal-19,Huge upgrade from last versions. Just missing one thing,"{'id': 26436689, 'body': ""Hello, Faisal-19. I work on Aetna’s support team. We appreciate your feedback and care about your Aetna Health app experience. We'll continue adding more features in the future, so check back often for new updates. Thanks! Cindy K."", 'modified': '2021-11-23T15:59:00Z'}",Aetna Health 
2020-02-21 17:36:07,"I am a blind user, and while the app works pretty decent with the iOS screen reader Voiceover, there are some pretty annoying bugs. When you look at the list of available providers, it often scrolls all the way to the bottom, showing the furthest rather than the nearest. This happens as you browse through, so you can begin to see nearer providers, but then it scrolls, and you lose what you were looking at. This could be a real problem if you want something in the middle. For a medical app, I would think accessibility testing would have been top of mind, so as to not leave users with no way to find in-network providers.",2,False,Arodenbeck,Needs accessibility improvements,,Aetna Health 
2023-07-18 18:49:36,"I am shocked at how horrible Aetna Insurance is. I made my women’s wellness appointment 6 months out along with a referral appointment for a mammogram and ultrasound (due to medical history, I have to have a mammogram and ultrasound every 6 months). I found out today, a week before my appointment Aetna no longer covers where I have been going for years and who was also in our Aetna network 6 months ago! I now have to find a new place to go to. This is absolutely ridiculous!  They won’t cover this, but should I actually have breast cancer, they will cover those expenses…moral is Aetna is not good for preventative care. I am disappointed and we will be switching back to BCBS as soon as this year is up.",1,False,Dumpette,Horrible Insurance,,Aetna Health 
2022-03-19 02:58:01,"I have called, and I have written, and Aetna‘s response to my problem is to send me a paper copy or a PDF of the current listing of program dentists.

Unfortunately, participating dentists might change, and I don’t want a paper copy every time I need to look up dentists. I don’t know why the app and the website both fail to provide me a listing of dentists by name or location. The app also promises to allow you to look up prices for procedures for the vital savings program, but the phone reps tell you that’s not possible. 

Interesting that this all worked BEFORE I signed up, but now that I’m a member, I can’t look up dentists on my own.",1,False,CaraMadra,Provider directory and price search for dental doesn’t work,,Aetna Health 
2023-05-12 00:19:23,I was in a bad motorcycle wreck Aetna cancelled my benefits forcing me to get cobra insurance with no notification which I surely couldn’t afford due to becoming disabled and had to be out of work.   Before they cancels I was taking medication that was covered by Aetna during the time I had cobra at $650 a month I also had to pay full price for the medicine which was another $700 a month then when I get back to work and required to take the same medicine they require a prior authorization then take 3 months to deny it leaving me several thousand out of pocket and no one helping me.  These people are weasels just trying to weasel out if paying for anything,1,False,MarkiMark100786,Worst 2 years of my life and Aetna made it worse,,Aetna Health 
2022-11-30 19:48:17,"It’s rare when people look forward to seeing their Doctor’s.  My husband and I have been with the same physician for almost (if not) 30 years now and I’ve been with Aetna as long. Both provide outstanding service and I wouldn’t trade them for anything.  I’ve NEVER had a problem with a test result, claim or communication with a representative.  
Thank You Aetna.",5,False,T Melton,Over 30 years of quality service….,,Aetna Health 
2022-02-13 21:38:52,App is good overall for tracking health claims etc… but recently annoyingly I constantly need to re-logon even though I have granted Face ID and have enabled it. The other issue is that messages between Aetna customer service  and myself cannot be viewed within the App and need to logon to the website. Kind of annoying to receive an email on my device that a response has been received only to have to go to a computer and logon on the website to view it.  With some work fixing these issues it could be a great app,3,False,Scott Spring,Recent issues,,Aetna Health 
2022-08-01 18:39:54,"For the last several weeks, major portions of this app have been non-functioning.  Procedure costs, drug information, claims history… none of it loads! The only operable feature is the digital version of my insurance card.

Very unfortunately, most of these same crucial features are similarly broken on Aetna’s desktop site; pages either failing to load, loading blank or replaced with the “We’re working on it” message.

This app and the website exist because they serve a critical purpose- finding or managing one’s very health.  The fact that they have been dysfunctional for such a long time is beyond insulting and potentially dangerous.",1,False,SoydogNY,"Broken app, broken website.",,Aetna Health 
2020-01-09 02:45:56,"With all the money health insurance companies charge us, you’d think they’d at least invest the effort in maintaining the facade of a useful, solid app. Instead, the Aetna app is as basic as it gets. There’s literally only two or three things max you can get out of it, all related to the most basic of info: what is ur insurance ID. There are no tools to look up doctors that are in-Network or contact HELP/ SUPPORT. It’s that bad. Every seemingly useful button takes you to their horrible website which is even more user-hostile in its own regard. Sites don’t load or constantly freeze. The app itself feels like something from 10 years ago. It’s pathetic. Whoever is handling their digital/mobile strategy should be fired. USELESS.",1,False,Rajkpersaud,One of the WORST apps,,Aetna Health 
