rating,flair_sentiment,date,review,isEdited,userName,title,developerResponse,App_Name,has_leaderboard,has_challenges,has_points,has_badges,has_feedback,has_social,has_tracking,has_goals,has_narrative,has_collab,word_count,Element type,Mentions
3,pos,2019-10-21 15:12:54,"I love this app and got it when I purchased my Apple Watch! I loved being able to post quotes on social media as well as gain inspiration! However, recently the app has stopped working on my watch but still works on my phone. I hope there is a way to fix this issue to make the app compatible with the Apple Watch again!",0,Lauren Tron,Love this app but it’s not working!,0,Motivation Daily quotes,0,0,0,0,0,1,0,0,0,0,64,has_social,29
4,neg,2018-07-30 05:56:10,"I saw this app online when it was shared through social media. Overall, this is a good app and I like the daily reminders but I can’t see any of the past quotes. For example, I saw a quote today that I really enjoyed that popped up as a reminder and I cannot find it anywhere in the app. I think a calendar listing the day of the week and the quote that was used as a reminder in the lock screen would be a good idea. Wish I could even remember the quote since it was so applicable to my life and had good inspiration!",0,Petyuwushhshs,No history,0,Motivation Daily quotes,0,0,0,0,0,1,0,0,0,0,106,has_social,29
4,pos,2021-01-21 15:10:29,"I’m a 13 year old girl and I have been worried about my connection with god I wonder am I saved? Do I have a relationship with god? If I die am I going to heaven? I am always worried bc I feel like I don’t have any of that but I want to have a relationship with god but I just don’t know how! How do I start a relationship with god?? That’s what I want bc I believe in him but I have a feeling I’m not doing something right! I want to go to heaven and live with the messiah who died for me! I just feel as if I’m not saved! I feel like this app is helping! I’ve been purchasing a lot of apps containing ways to be close to Jesus but I just don’t feel any different! Like the title everyone needs Jesus, everyone! I want my prayers to be answered but if I don’t have a relationship with god and ask him to answer my prayers well it’s like asking a stranger to do a favor for me! I want a relationship with Jesus so I hope this app will guide me in the right direction.",0,infinity gymnast girl,Everyone needs Jesus,0,Motivation Daily quotes,0,0,0,0,0,1,0,0,0,0,203,has_social,29
5,neg,2019-10-10 01:58:53,"App is decent but it could be better. First off, you have to pay for a majority of the stuff and the stuff you don’t pay for requires you to watch a boring add for 30 second. Second off, the topics are limited if you want the free ones. Some of which are free if you watch an ad. Third off, the fonts don’t change much within the topics. Fourthly, the price is high. You should get an option to have a free trial or pay as you go like 99 cents a month. Fifth, some of quotes aren’t really good or they are by people you don’t really know. I could get better quotes from google. The reason why we had the app is either for a potential background or a daily reminder to empower us. Also, it would be nice to choose how it Notified you. If you could pick out how the notifications appear, the sound it makes and if we could share it to friends or social media. So all in all, the app is basic and I’ll prolly keep a few of the quotes but I don’t think I’ll keep the app or tell anyone else about it at least until some things change.",0,BrwIGrl86,Decent but could be better,0,Motivation Daily quotes,0,0,0,0,0,1,0,0,0,0,209,has_social,29
5,pos,2023-10-04 00:16:412021-04-13 22:34:282019-12-05 13:42:092020-09-20 04:40:252023-02-12 14:54:142023-10-04 09:22:202019-12-19 20:07:312020-11-19 05:36:412022-10-28 13:05:322021-08-16 00:44:122021-04-06 23:18:562022-09-29 05:16:222020-11-05 14:03:372021-02-06 22:36:182023-03-03 21:57:302020-06-05 20:11:152019-10-28 12:58:502021-05-26 17:23:362022-03-06 03:03:042023-02-20 20:10:002021-10-29 18:27:52,"So in times where I was feeling down or low in general, this app was very helpful. Sometimes I would look at it whenever I felt like I didn’t know what to do in a situation regarding my life, future, however you may call it….but I can say that this is a good app for anyone who may be drifting through motions of sadness, self-doubt etc. Now there are many quotes here in which I believe were gathered throughout history that many famous & influential people, personalities, individuals across all nationalities, religions etc. who were by societal norms successful and contributed in their own lives in a different manner to their personal circumstances and areas of focus. 

Regardless, they still rose above any obstacle that may have encountered in their path because we all need help regardless of how we may view ourselves at any moment. This is just my own personal opinion of what I believe is a very good approach for self care in this regard. Now that’s not to say that there are also many alternatives like books, community, human connection or other social interactions & hobbies to name few. But for those who may have trouble understanding how they might feel in relationships, life, where they may fit in this huge world, isolation along with loneliness and depression can swallow them up but I would like to say that I’m at least thankful for the support and encouragement. Thank you.Huge “Thanks” to the Devs for creating this app! I started out with just the free version to see how much I liked it - and even that was entirely sufficient! However, decided to go Premium when I saw all the additional perks that come along with it - and that I must say is EVEN MORE worth it!You can absolutely create this app and manage it two I help you in all sorts of facets of life the good the bad and sometimes the ugly. Plus, the ability to add teams and then change fonts and then share it with your friends and family membersEither via Facebook or other social media or through a text message, what a great thing to be able to share a positive message with someone. Or better yet what a great thing to be able to find some thing to say to someone when you just don’t have the words to say yourself, just buy clicking one topic in clicking the thousands of quotes available until you find exactly what you want to say!!Not to mention the fact that you can even add your own so if you have a favorite saying of yours that you want to pop up on your widget, then you can put it in the app and time it to come up whenever you want to becauseThey give you the ability to set reminders for clothes whether it be three times a day or minute to minute. This is an awesome app and so grateful for it each and every day. Thanks so much!!!!Potential users, you will not be disappointed! ...and I’d be shocked if you were.  This app has come in SUPER clutch so many times. Whether it’s a motivation quote I go to the app and seek out or if it’s a pop up notification on my home screen. ..which I’d swear my daily notification I get each morning is always just what I need & right on time.  This app has quotes and sayings for seemingly EVERYTHING... even if I want to throw up a little motivational “shade” on my social media without being totally rude.... I’ve found exactly what I’ve needed through a funny quote. LOL!!  I’m pretty sure I use this app daily and absolutely love it.  I refer friends to it all! the! time!

SN: I just read another review - I second the statement about being able to see the same quote when I open the app as I see on my notification without having to go through the notification.  I’ve had that same thought but is by no means a complaint, this app is amazing!!There is a reason why this app is #1 under Health and Fitness. It generates the perfect quotes you need in your day that are motivational, funny, and are really up to you based on what you choose from the categories feature.  

The amazing thing is, you don’t need even need Motivation Premium unless you really want specific categories of quotes to appear on your feed. There are already fantastic themes and backgrounds and you can save quotes as favorites or share them to social media. I ended up purchasing Motivation Premium a few weeks ago, and it definitely has been worth it. As a college student, I deal with lots stress academically and some days I feel like a zombie in the morning. But when I pull up Motivation and read some inspiring quotes, I feel better than ever, and I hope this app will do the same for you!I’m not the kind of person to leave reviews like this, but I can’t help but think that this app is the best one out there. It has a sense of connection you feel.  You can pick your topic on what you want a quote on and it will give you one without hesitation or you can enable notifications and it will send a quote every hour. This game is used for meditation, anxiety, stress, and deep breathing. You can get this app for free and NO ADS. If you want a good app and need meditation or anti-stress this is the app for you. There is a reason that they call this app motivation, they hope that they will give you a quote and you will write it on paper or on your mirror so that you can  memorize it and make it fit into your life. This app fits all genders too.Several months ago is had a conversation with MonkeyTap. They are great people. They truly care about the apps that are developed and how they can help in people’s mindfulness and mental health. Each of their apps is designed with a purpose to enable people to expand their cognitive abilities and development. I use Motivation and Vocabulary everyday. They are customizable and have a large amount of good information. I post directly on social media and save images to share with friends from the app with works seamlessly. 

Thank you P & P! (I didn’t want to put your names up without your permission). Y’all are doing great and helping many people!I always think “it’s just me”. It’s just me who’s not happy. It’s just me who can’t think positive. It’s just me who is struggling with this negative obstacle. I have deleted every social media within the past year and I keep having these urges to tap on an app that’s no longer there. My therapist informed me of using this app because my negative thoughts are more powerful than my good ones right now. And let me tell you, I’m getting addicted to tapping on this app and reading motivational, supporting, kind, words that my mind won’t say on its own. Soon I feel these words will come naturally with this help I have.Great app love it! Seems like the quotes I get daily have some kind of connection to what is going on in my life at the moment and definitely helps reading all the positivity. Only thing that sorta bugs me is when I receive the notification on my Lock Screen sometimes the quotes are to long and I’m unable to finish reading the quote then when I click on it to open the app it shows me an entirely different quote..but other than that really do love this app.This app is a must have for all the generations of people. The people who work for this app are super positive, spiritual, kind and concerned about the bad this social media is doing. Please it’s a humble request to download this app and spare few seconds of the day to spend on this. This is a humble request from a successful IT professional and a die-hard fan of a Yogi from west i.e US 🙂😇🙏This is the best quote/motivation app that I’ve ever downloaded. It has such great quotes that I really relate to. AND you can share them with other people and on your socials. When I look at apps to download, I always look at the reviews and there is always such confusing reviews about the apps, but you can trust this review fully.This app is great!! It gives you so many different perspectives on how to motivate yourself and stay positive. There's also many different subjects to choose from if you don't really need motivation. It can also help you deal with mental illness, inspiration, stress, social anxiety and more. I highly recommend it for individuals that don't have a lot of support in your life.I love that every time I look at my phone, there’s a new positive message waiting for me - great feature.

I am a premium member and find the cost well worth the product - as someone who tries to share positive messages through social media, I have loved this app ever since I discovered it.I really appreciate this app I was at a point in life where I wanted better so I started seeking more positivity whether it been on social media, my own family, etc and once I seen this app and downloaded it now it’s been a blessing and it really helps me keep moving forward it’s definitely worth it Monday- Friday from 8am- 10pm it’s a must 🤞🏾🙏🏾🙌🏾💪🏾I recommend this to everyone I know and post it on my social media’s for others. This app has helped me get out of bed and get things done , starting the day off with positivity. It helped my Friends as well. I have a motivational speech at school and I recommend this app in it.Before this app I was struggling with an eating disorder but this app completely changed my life! It also helped me with jealousy, anger, social anxiety and self love. I highly recommend this app and I personally thank the developer for helping me on my journey to a healthy mental state.This app really inspire you daily and each quote touch your heart ❤️ 

They provide feature to make your own quotes with their default design platform, and you can share it easily on social media! 

LOVE 💗 it and looking forward for more future app!I live the motivation app because it literally motivates me throughout the days. I always share it to my social media to motivate others because I feel we need to motivate and lift others not tear them down. Thanks for this app, it is fantabulous!!This app provides quick access to daily motivational quotes that I can read and be inspired and also share on social media in a very easy way what a wonderful appDownloading this made me feel so good and calm now and I’m going antisocial but I Feel like I can listen,watch and share how I feel about everythingWhether you’re trying it out for free or paying for a membership, I suggest this app. There are great quotes that haven’t been played out on social media yet.I love this app it really keeps me going and I share to my kids and family sometimes social media also. Very encouraging and inspiring",0,DonashelloArtemisPlatinumShelzNchztateshionoA_L_L_I.comThe Texas Agentjerryisbomb.comGio IsraelAnimeshJohriElleceaQuellaLeann31  Wavy Wade ⚾️KellyCoCoButter❤️✨💚May the ok for otherDj Chelfantastically convenientjerimiah whiteadhd reviews from me!aimeebeanie313,A Thoughtful OutlookAbsolutely Love This App!1000% Worth Subscribing To!!Why Motivation is #1This game is PERFECT!!!Motivation app is great!Good social media replacementNotificationPerfect App for MotivationMy five star reviewMotivationLove the Lock Screen Widget!Stay strong 💪🏾🙏🏾🙌🏾🌟Helped me find my inner peaceVery convenient and easy to use!MotivationMagnificentHow I felt after downloading thisPerfect!Slot of ads,"{'id': 22263686, 'body': 'We love to see this type of feedback, thank you for taking the time to leave us a review, it means a lot!\n', 'modified': '2021-04-15T14:01:12Z'}{'id': 12634951, 'body': 'Thank you for leaving us such a wonderful review. We are thrilled that you are are loving the experience.', 'modified': '2019-12-29T21:03:51Z'}{'id': 18015937, 'body': 'Awesome! Thank you for your feedback, it means a lot to us.\n', 'modified': '2020-09-22T07:08:58Z'}{'id': 34914319, 'body': 'Wow! Thanks so much for this amazing review and your kind words. It means a lot and we truly appreciate it!', 'modified': '2023-02-16T21:04:54Z'}{'id': 12723857, 'body': ""That's awesome! Thank you for taking the time to share your experience, it means a lot to us."", 'modified': '2020-01-04T19:40:21Z'}{'id': 19252837, 'body': 'Hi! This issue should be fixed in the last update - check it out! Please contact us if you have any other issues at hello@motivation.app', 'modified': '2020-11-20T22:08:19Z'}{'id': 32961887, 'body': 'We’re so grateful for your kind words. Thanks for sharing your review with us and the community.', 'modified': '2022-11-03T22:00:02Z'}{'id': 24575905, 'body': 'Thank you so much for taking the time to leave us a review and thank you for your kind words, it means a lot!\n', 'modified': '2021-08-18T10:24:42Z'}{'id': 22143144, 'body': ""That's great to hear! Thank your for your review!\n"", 'modified': '2021-04-09T08:00:12Z'}{'id': 32540183, 'body': ""We're so glad you're enjoying the lock screen widget! We appreciate your support!"", 'modified': '2022-10-12T20:58:01Z'}{'id': 19004806, 'body': 'We love to see this type of feedback, thank you for taking the time to leave us a review!', 'modified': '2020-11-10T01:35:42Z'}{'id': 20938335, 'body': 'Thanks for leaving us such a wonderful review. We are thrilled that you are enjoying the app, thank you for sharing it with your loved ones, keep spreading motivation!', 'modified': '2021-02-08T21:55:37Z'}{'id': 35322054, 'body': 'Thanks so much for recommending our app! We appreciate you!', 'modified': '2023-03-10T20:39:04Z'}{'id': 35061396, 'body': 'Thanks so much for your kind words. We appreciate you!', 'modified': '2023-02-24T19:46:23Z'}",Motivation Daily quotesMotivation Daily quotesMotivation Daily quotesMotivation Daily quotesMotivation Daily quotesMotivation Daily quotesMotivation Daily quotesMotivation Daily quotesMotivation Daily quotesMotivation Daily quotesMotivation Daily quotesMotivation Daily quotesMotivation Daily quotesMotivation Daily quotesMotivation Daily quotesMotivation Daily quotesMotivation Daily quotesMotivation Daily quotesMotivation Daily quotesMotivation Daily quotesMotivation Daily quotes,0,0,0,0,0,21,0,0,1,0,1945,has_social,29
1,neg,2023-10-12 12:55:24,"Was excited to try, ended up deleting after 3 days — maybe I had an unlucky streak? 

There’s hundreds of phrases that are more motivating, positive, true and constructive than the 3 I was served in my first few consecutive days. Why not put those out into the world and in front of the beautiful people instead of this. 

There’s a lot of great small quotes and phrases in stoicism, on yogi tea bags, etc. why not use stuff like that? 

The final one that got me was: “if people treat you like they don’t care about you, believe them” like — woaaahhh okay, cool dude. Sure, if I have -15 self respect score maaaaaybe that’s helpful in turning on the lights so to speak but then what i’m supposed to be motivated to stand up for myself by basically being mad at them? This is the shallowest, cheapest form of motivation. You got this! Let’s up the quality bar a bit with content that’s already around and available elsewhere and put beautiful thoughtful things on a plate for folks! That would be so incredible! Inspire!",0,Parker Lewis never loses,"This isn’t positive, or constructive, edit them?",0,Motivation Daily quotes,0,0,0,0,0,0,1,0,0,0,186,has_tracking,2
5,pos,2022-11-23 06:53:54,"A lot of people these days, get freaked out about their phones or tablets or laptops or whatever listening to their every word and analyzing it and tracking them. However, this app somehow understands what I need to hear when I need to hear it and it lift me up when I need it and I’m pretty sure I couldn’t live without it so thank you so much.",0,#lifeishorrible,Through hard days,"{'id': 33412101, 'body': ""You're welcome! We really appreciate your kind words! "", 'modified': '2022-11-28T16:33:34Z'}",Motivation Daily quotes,0,0,0,0,0,0,1,0,0,0,68,has_tracking,2
1,neg,2022-01-02 14:04:40,"Almost all of these “quotes” are written in poor English and seem like they were taken off the Tumblr page of a teenager from 2011. There is nothing motivational or encouraging about any of these fake-deep one-liners. And why on Earth would an app offer categories and then ignore them completely? ALL of my quotes were about relationships and “toxic people” - I asked for quotes about reaching goals and working out.

Instead of spending $20 a year on this garbage app, please just make a Pinterest quote board and get your angst-ridden grammatical errors for free.",0,Arghhhhghhh,Simply awful,0,Motivation Daily quotes,0,0,0,0,0,0,0,1,0,0,97,has_goals,13
1,pos,2022-01-17 11:26:00,"I was beyond STOKED when I saw the ad for this app on IG. I thought, wow! This is really awesome and will help me push through to achieve my goals and become my happiest, best self. So imagine my shock, disappointment, and down right disgust when I found out this app comes, not only at a cost (fail) but, also that it’s a recurring cost. Something such as this should be absolutely free, especially in today’s world. The fact that this is an annual cost is what made me walk away altogether. I pity whomever was behind the decision. Just wrong in every way.",0,TootieMayARNP,Motivation At A Hefty Cost,0,Motivation Daily quotes,0,0,0,0,0,0,0,1,0,0,105,has_goals,13
2,neg,2019-01-01 23:05:18,"I like this app very much, and it does keep me going and feeling better about myself. However having to pay for everything you basically want, is outrageous. Everything is locked and the only way to unlock it is to pay for it. I think it would be an amazing idea if there was goals you had to reach, and each time you would reach it you would unlock something. Like something to give you motivation and to reward you for it. This app could use some work making it better and not so annoying to use, every time there’s a subject I want to use to help me get better in the way I need to. I can’t use it and I’m stuck with the general, sometimes giving me quotes I don’t even need. But over all props to the idea but it needs more work, to help make the consumers happier. 

It would be great if you looked into these ideas. Thank you -one of your users",0,Cydney hates this game,What’s with paying for everything?,"{'id': 6692090, 'body': 'Hi there,\nThe app itself is free, which includes thousands of quotes as well as most themes and many other features for free!\nI hope this explains it a bit better.\nPlease let us know if you have any questions or feedback at monkeytaps@gmail.com', 'modified': '2019-01-06T07:46:19Z'}",Motivation Daily quotes,0,0,0,0,0,0,0,1,0,0,169,has_goals,13
4,pos,2020-01-10 15:42:33,"I love the fact that when I look at my watch and see the motivational messages and my physical activity, it motivates me to work harder at accomplishing my goals. For someone who doesn’t have anyone to cheerlead her on, I thank you for creating this app which is now on all of my apple products.💕",0,chicheart317,Extremely motivational,0,Motivation Daily quotes,0,0,0,0,0,0,0,1,0,0,56,has_goals,13
5,neg,2020-10-06 15:09:45,"To be honest it feels good to write inspiring messages for others to see and honestly wants my heart. Also these don’t work unless you look into yourself when your reading this, for example.
Quote : Make your dream tomorrow, your normal today. I made this quote myself and basically it means make your dreams a reality. So you have it look into your self and see what you have and how you can work towards or your dreams. You can’t just read this and say this doesn’t motivate you. These are made to motivate you into being motivated to accomplish your goals / dreams.",0,menelikplopoo,Does it work?,0,Motivation Daily quotes,0,0,0,0,0,0,0,1,0,0,105,has_goals,13
